"trainer/global_step","debug--VAE_CSL - _step","debug--VAE_CSL - _step__MIN","debug--VAE_CSL - _step__MAX","debug--VAE_CSL - vq/commit/train","debug--VAE_CSL - vq/commit/train__MIN","debug--VAE_CSL - vq/commit/train__MAX"
"0","0","0","0","0.03839580714702606","0.03839580714702606","0.03839580714702606"
"1","2","2","2","0.17110806703567505","0.17110806703567505","0.17110806703567505"
"2","4","4","4","0.2670176327228546","0.2670176327228546","0.2670176327228546"
"3","6","6","6","0.3958635926246643","0.3958635926246643","0.3958635926246643"
"4","8","8","8","0.5556473135948181","0.5556473135948181","0.5556473135948181"
"5","10","10","10","0.7005073428153992","0.7005073428153992","0.7005073428153992"
"6","12","12","12","0.819552481174469","0.819552481174469","0.819552481174469"
"7","14","14","14","0.8839344382286072","0.8839344382286072","0.8839344382286072"
"8","16","16","16","0.9763286709785461","0.9763286709785461","0.9763286709785461"
"9","18","18","18","1.014809489250183","1.014809489250183","1.014809489250183"
"10","20","20","20","1.0543872117996216","1.0543872117996216","1.0543872117996216"
"11","22","22","22","1.081191897392273","1.081191897392273","1.081191897392273"
"12","24","24","24","1.097618579864502","1.097618579864502","1.097618579864502"
"13","26","26","26","1.119352102279663","1.119352102279663","1.119352102279663"
"14","28","28","28","1.1464062929153442","1.1464062929153442","1.1464062929153442"
"15","30","30","30","1.1734620332717896","1.1734620332717896","1.1734620332717896"
"16","32","32","32","1.195812702178955","1.195812702178955","1.195812702178955"
"17","34","34","34","1.2116485834121704","1.2116485834121704","1.2116485834121704"
"18","36","36","36","1.2287479639053345","1.2287479639053345","1.2287479639053345"
"19","38","38","38","1.2436676025390625","1.2436676025390625","1.2436676025390625"
"20","40","40","40","1.2577049732208252","1.2577049732208252","1.2577049732208252"
"21","42","42","42","1.2702038288116455","1.2702038288116455","1.2702038288116455"
"22","44","44","44","1.2822312116622925","1.2822312116622925","1.2822312116622925"
"23","46","46","46","1.295303225517273","1.295303225517273","1.295303225517273"
"24","48","48","48","1.2990891933441162","1.2990891933441162","1.2990891933441162"
"25","50","50","50","1.3045910596847534","1.3045910596847534","1.3045910596847534"
"26","52","52","52","1.3125962018966675","1.3125962018966675","1.3125962018966675"
