"trainer/global_step","debug--VAE_CSL - _step","debug--VAE_CSL - _step__MIN","debug--VAE_CSL - _step__MAX","debug--VAE_CSL - recons/feature/train","debug--VAE_CSL - recons/feature/train__MIN","debug--VAE_CSL - recons/feature/train__MAX"
"0","0","0","0","0.1267097145318985","0.1267097145318985","0.1267097145318985"
"1","2","2","2","0.10510872304439545","0.10510872304439545","0.10510872304439545"
"2","4","4","4","0.09370321780443192","0.09370321780443192","0.09370321780443192"
"3","6","6","6","0.08616579324007034","0.08616579324007034","0.08616579324007034"
"4","8","8","8","0.0816437378525734","0.0816437378525734","0.0816437378525734"
"5","10","10","10","0.078211709856987","0.078211709856987","0.078211709856987"
"6","12","12","12","0.0751056969165802","0.0751056969165802","0.0751056969165802"
"7","14","14","14","0.07265602052211761","0.07265602052211761","0.07265602052211761"
"8","16","16","16","0.0704558789730072","0.0704558789730072","0.0704558789730072"
"9","18","18","18","0.06879203021526337","0.06879203021526337","0.06879203021526337"
"10","20","20","20","0.06733129918575287","0.06733129918575287","0.06733129918575287"
"11","22","22","22","0.06597032397985458","0.06597032397985458","0.06597032397985458"
"12","24","24","24","0.06485538184642792","0.06485538184642792","0.06485538184642792"
"13","26","26","26","0.06392223387956619","0.06392223387956619","0.06392223387956619"
"14","28","28","28","0.06312788277864456","0.06312788277864456","0.06312788277864456"
"15","30","30","30","0.06233671307563782","0.06233671307563782","0.06233671307563782"
"16","32","32","32","0.06158425658941269","0.06158425658941269","0.06158425658941269"
"17","34","34","34","0.06090415641665459","0.06090415641665459","0.06090415641665459"
"18","36","36","36","0.06027686595916748","0.06027686595916748","0.06027686595916748"
"19","38","38","38","0.059712715446949005","0.059712715446949005","0.059712715446949005"
"20","40","40","40","0.05919203907251358","0.05919203907251358","0.05919203907251358"
"21","42","42","42","0.058677028864622116","0.058677028864622116","0.058677028864622116"
"22","44","44","44","0.05804077908396721","0.05804077908396721","0.05804077908396721"
"23","46","46","46","0.05754028633236885","0.05754028633236885","0.05754028633236885"
"24","48","48","48","0.057131074368953705","0.057131074368953705","0.057131074368953705"
"25","50","50","50","0.05676044151186943","0.05676044151186943","0.05676044151186943"
"26","52","52","52","0.056412532925605774","0.056412532925605774","0.056412532925605774"
"27","54","54","54","0.056171249598264694","0.056171249598264694","0.056171249598264694"
"28","56","56","56","0.055649399757385254","0.055649399757385254","0.055649399757385254"
"29","58","58","58","0.05529698729515076","0.05529698729515076","0.05529698729515076"
"30","60","60","60","0.05486107990145683","0.05486107990145683","0.05486107990145683"
"31","62","62","62","0.05452970415353775","0.05452970415353775","0.05452970415353775"
"32","64","64","64","0.054046399891376495","0.054046399891376495","0.054046399891376495"
"33","66","66","66","0.0536017119884491","0.0536017119884491","0.0536017119884491"
"34","68","68","68","0.053289975970983505","0.053289975970983505","0.053289975970983505"
"35","70","70","70","0.05295439809560776","0.05295439809560776","0.05295439809560776"
"36","72","72","72","0.05268009752035141","0.05268009752035141","0.05268009752035141"
"37","74","74","74","0.052323754876852036","0.052323754876852036","0.052323754876852036"
"38","76","76","76","0.05202178657054901","0.05202178657054901","0.05202178657054901"
"39","78","78","78","0.051734212785959244","0.051734212785959244","0.051734212785959244"
"40","80","80","80","0.05154431238770485","0.05154431238770485","0.05154431238770485"
"41","82","82","82","0.051258839666843414","0.051258839666843414","0.051258839666843414"
"42","84","84","84","0.05095500871539116","0.05095500871539116","0.05095500871539116"
"43","86","86","86","0.05065048113465309","0.05065048113465309","0.05065048113465309"
"44","88","88","88","0.050410736352205276","0.050410736352205276","0.050410736352205276"
"45","90","90","90","0.050204724073410034","0.050204724073410034","0.050204724073410034"
"46","92","92","92","0.049934305250644684","0.049934305250644684","0.049934305250644684"
"47","94","94","94","0.049903593957424164","0.049903593957424164","0.049903593957424164"
"48","96","96","96","0.04986002296209335","0.04986002296209335","0.04986002296209335"
"49","98","98","98","0.049843646585941315","0.049843646585941315","0.049843646585941315"
"50","100","100","100","0.049727313220500946","0.049727313220500946","0.049727313220500946"
"51","102","102","102","0.04949073866009712","0.04949073866009712","0.04949073866009712"
"52","104","104","104","0.049121707677841187","0.049121707677841187","0.049121707677841187"
"53","106","106","106","0.04873086139559746","0.04873086139559746","0.04873086139559746"
"54","108","108","108","0.04837851971387863","0.04837851971387863","0.04837851971387863"
"55","110","110","110","0.04798120632767677","0.04798120632767677","0.04798120632767677"
"56","112","112","112","0.047700993716716766","0.047700993716716766","0.047700993716716766"
"57","114","114","114","0.0475287139415741","0.0475287139415741","0.0475287139415741"
"58","116","116","116","0.047356992959976196","0.047356992959976196","0.047356992959976196"
"59","118","118","118","0.04718327149748802","0.04718327149748802","0.04718327149748802"
"60","120","120","120","0.04709262400865555","0.04709262400865555","0.04709262400865555"
"61","122","122","122","0.04708187282085419","0.04708187282085419","0.04708187282085419"
"62","124","124","124","0.04699131101369858","0.04699131101369858","0.04699131101369858"
"63","126","126","126","0.046894628554582596","0.046894628554582596","0.046894628554582596"
"64","128","128","128","0.046834658831357956","0.046834658831357956","0.046834658831357956"
"65","130","130","130","0.04671341925859451","0.04671341925859451","0.04671341925859451"
"66","132","132","132","0.04652966558933258","0.04652966558933258","0.04652966558933258"
"67","134","134","134","0.046353138983249664","0.046353138983249664","0.046353138983249664"
"68","136","136","136","0.04621689394116402","0.04621689394116402","0.04621689394116402"
"69","138","138","138","0.04602784290909767","0.04602784290909767","0.04602784290909767"
"70","140","140","140","0.04583986848592758","0.04583986848592758","0.04583986848592758"
"71","142","142","142","0.0455794557929039","0.0455794557929039","0.0455794557929039"
"72","144","144","144","0.04544869437813759","0.04544869437813759","0.04544869437813759"
"73","146","146","146","0.04545857012271881","0.04545857012271881","0.04545857012271881"
"74","148","148","148","0.04533424973487854","0.04533424973487854","0.04533424973487854"
"75","150","150","150","0.04527827724814415","0.04527827724814415","0.04527827724814415"
"76","152","152","152","0.04507266357541084","0.04507266357541084","0.04507266357541084"
"77","154","154","154","0.044934581965208054","0.044934581965208054","0.044934581965208054"
"78","156","156","156","0.04462633281946182","0.04462633281946182","0.04462633281946182"
"79","158","158","158","0.044331107288599014","0.044331107288599014","0.044331107288599014"
"80","160","160","160","0.0441892072558403","0.0441892072558403","0.0441892072558403"
"81","162","162","162","0.04406602680683136","0.04406602680683136","0.04406602680683136"
"82","164","164","164","0.04405202716588974","0.04405202716588974","0.04405202716588974"
"83","166","166","166","0.04409341141581535","0.04409341141581535","0.04409341141581535"
"84","168","168","168","0.04416534677147865","0.04416534677147865","0.04416534677147865"
"85","170","170","170","0.04402181878685951","0.04402181878685951","0.04402181878685951"
"86","172","172","172","0.04382530227303505","0.04382530227303505","0.04382530227303505"
"87","174","174","174","0.04361695796251297","0.04361695796251297","0.04361695796251297"
"88","176","176","176","0.043378472328186035","0.043378472328186035","0.043378472328186035"
"89","178","178","178","0.043106067925691605","0.043106067925691605","0.043106067925691605"
"90","180","180","180","0.04291224852204323","0.04291224852204323","0.04291224852204323"
"91","182","182","182","0.04274919256567955","0.04274919256567955","0.04274919256567955"
"92","184","184","184","0.04263574257493019","0.04263574257493019","0.04263574257493019"
"93","186","186","186","0.04255635291337967","0.04255635291337967","0.04255635291337967"
"94","188","188","188","0.04245699942111969","0.04245699942111969","0.04245699942111969"
"95","190","190","190","0.0423407182097435","0.0423407182097435","0.0423407182097435"
"96","192","192","192","0.04218227043747902","0.04218227043747902","0.04218227043747902"
"97","194","194","194","0.04217907786369324","0.04217907786369324","0.04217907786369324"
"98","196","196","196","0.04222574084997177","0.04222574084997177","0.04222574084997177"
"99","198","198","198","0.042238749563694","0.042238749563694","0.042238749563694"
"100","200","200","200","0.042283300310373306","0.042283300310373306","0.042283300310373306"
"101","202","202","202","0.04231312498450279","0.04231312498450279","0.04231312498450279"
"102","204","204","204","0.04244645684957504","0.04244645684957504","0.04244645684957504"
"103","206","206","206","0.042456064373254776","0.042456064373254776","0.042456064373254776"
"104","208","208","208","0.04241691902279854","0.04241691902279854","0.04241691902279854"
"105","210","210","210","0.042134810239076614","0.042134810239076614","0.042134810239076614"
"106","212","212","212","0.041818343102931976","0.041818343102931976","0.041818343102931976"
"107","214","214","214","0.04142879694700241","0.04142879694700241","0.04142879694700241"
"108","216","216","216","0.04106510058045387","0.04106510058045387","0.04106510058045387"
"109","218","218","218","0.040744978934526443","0.040744978934526443","0.040744978934526443"
"110","220","220","220","0.04044165834784508","0.04044165834784508","0.04044165834784508"
"111","222","222","222","0.040297746658325195","0.040297746658325195","0.040297746658325195"
"112","224","224","224","0.040170345455408096","0.040170345455408096","0.040170345455408096"
"113","226","226","226","0.040142375975847244","0.040142375975847244","0.040142375975847244"
"114","228","228","228","0.040517497807741165","0.040517497807741165","0.040517497807741165"
"115","230","230","230","0.04060196876525879","0.04060196876525879","0.04060196876525879"
"116","232","232","232","0.04077204316854477","0.04077204316854477","0.04077204316854477"
"117","234","234","234","0.041002608835697174","0.041002608835697174","0.041002608835697174"
"118","236","236","236","0.041103824973106384","0.041103824973106384","0.041103824973106384"
"119","238","238","238","0.040935564786195755","0.040935564786195755","0.040935564786195755"
"120","240","240","240","0.04080453887581825","0.04080453887581825","0.04080453887581825"
"121","242","242","242","0.04072655737400055","0.04072655737400055","0.04072655737400055"
"122","244","244","244","0.0405471995472908","0.0405471995472908","0.0405471995472908"
"123","246","246","246","0.040479086339473724","0.040479086339473724","0.040479086339473724"
"124","248","248","248","0.040274061262607574","0.040274061262607574","0.040274061262607574"
"125","250","250","250","0.03979009762406349","0.03979009762406349","0.03979009762406349"
"126","252","252","252","0.039227548986673355","0.039227548986673355","0.039227548986673355"
"127","254","254","254","0.038815584033727646","0.038815584033727646","0.038815584033727646"
"128","256","256","256","0.03850606828927994","0.03850606828927994","0.03850606828927994"
"129","258","258","258","0.038410939276218414","0.038410939276218414","0.038410939276218414"
"130","260","260","260","0.038390662521123886","0.038390662521123886","0.038390662521123886"
"131","262","262","262","0.03847486525774002","0.03847486525774002","0.03847486525774002"
"132","264","264","264","0.03869466483592987","0.03869466483592987","0.03869466483592987"
"133","266","266","266","0.03901507705450058","0.03901507705450058","0.03901507705450058"
