"trainer/global_step","debug--VAE_CSL - _step","debug--VAE_CSL - _step__MIN","debug--VAE_CSL - _step__MAX","debug--VAE_CSL - total/train","debug--VAE_CSL - total/train__MIN","debug--VAE_CSL - total/train__MAX"
"0","0","0","0","0.12747764587402344","0.12747764587402344","0.12747764587402344"
"1","2","2","2","0.10853089392185211","0.10853089392185211","0.10853089392185211"
"2","4","4","4","0.0990435779094696","0.0990435779094696","0.0990435779094696"
"3","6","6","6","0.09408307820558548","0.09408307820558548","0.09408307820558548"
"4","8","8","8","0.09275667369365692","0.09275667369365692","0.09275667369365692"
"5","10","10","10","0.09222184121608734","0.09222184121608734","0.09222184121608734"
"6","12","12","12","0.09149673581123352","0.09149673581123352","0.09149673581123352"
"7","14","14","14","0.09033471345901489","0.09033471345901489","0.09033471345901489"
"8","16","16","16","0.08998245000839233","0.08998245000839233","0.08998245000839233"
"9","18","18","18","0.08908820897340775","0.08908820897340775","0.08908820897340775"
"10","20","20","20","0.08841905742883682","0.08841905742883682","0.08841905742883682"
"11","22","22","22","0.08759413659572601","0.08759413659572601","0.08759413659572601"
"12","24","24","24","0.0868077427148819","0.0868077427148819","0.0868077427148819"
"13","26","26","26","0.0863092690706253","0.0863092690706253","0.0863092690706253"
"14","28","28","28","0.08605601638555527","0.08605601638555527","0.08605601638555527"
"15","30","30","30","0.0858059674501419","0.0858059674501419","0.0858059674501419"
"16","32","32","32","0.08550049364566803","0.08550049364566803","0.08550049364566803"
"17","34","34","34","0.08513712882995605","0.08513712882995605","0.08513712882995605"
"18","36","36","36","0.08485182374715805","0.08485182374715805","0.08485182374715805"
"19","38","38","38","0.08458604663610458","0.08458604663610458","0.08458604663610458"
"20","40","40","40","0.08434615284204483","0.08434615284204483","0.08434615284204483"
"21","42","42","42","0.08408109098672867","0.08408109098672867","0.08408109098672867"
"22","44","44","44","0.08368539065122604","0.08368539065122604","0.08368539065122604"
"23","46","46","46","0.08344636112451553","0.08344636112451553","0.08344636112451553"
"24","48","48","48","0.08311286568641663","0.08311286568641663","0.08311286568641663"
"25","50","50","50","0.08285227417945862","0.08285227417945862","0.08285227417945862"
"26","52","52","52","0.08266447484493256","0.08266447484493256","0.08266447484493256"
"27","54","54","54","0.08244853466749191","0.08244853466749191","0.08244853466749191"
"28","56","56","56","0.08213602006435394","0.08213602006435394","0.08213602006435394"
"29","58","58","58","0.08175231516361237","0.08175231516361237","0.08175231516361237"
"30","60","60","60","0.08140993118286133","0.08140993118286133","0.08140993118286133"
"31","62","62","62","0.0811377614736557","0.0811377614736557","0.0811377614736557"
"32","64","64","64","0.08078230172395706","0.08078230172395706","0.08078230172395706"
"33","66","66","66","0.0803656131029129","0.0803656131029129","0.0803656131029129"
"34","68","68","68","0.0800391137599945","0.0800391137599945","0.0800391137599945"
"35","70","70","70","0.07982678711414337","0.07982678711414337","0.07982678711414337"
"36","72","72","72","0.07960467785596848","0.07960467785596848","0.07960467785596848"
"37","74","74","74","0.07928130030632019","0.07928130030632019","0.07928130030632019"
"38","76","76","76","0.07899460196495056","0.07899460196495056","0.07899460196495056"
"39","78","78","78","0.07867585867643356","0.07867585867643356","0.07867585867643356"
"40","80","80","80","0.0784699097275734","0.0784699097275734","0.0784699097275734"
"41","82","82","82","0.0781610906124115","0.0781610906124115","0.0781610906124115"
"42","84","84","84","0.07794943451881409","0.07794943451881409","0.07794943451881409"
"43","86","86","86","0.07764770835638046","0.07764770835638046","0.07764770835638046"
"44","88","88","88","0.07734797894954681","0.07734797894954681","0.07734797894954681"
"45","90","90","90","0.07713551819324493","0.07713551819324493","0.07713551819324493"
"46","92","92","92","0.07683508098125458","0.07683508098125458","0.07683508098125458"
"47","94","94","94","0.07677586376667023","0.07677586376667023","0.07677586376667023"
"48","96","96","96","0.07666511088609695","0.07666511088609695","0.07666511088609695"
"49","98","98","98","0.0765920951962471","0.0765920951962471","0.0765920951962471"
"50","100","100","100","0.07642024755477905","0.07642024755477905","0.07642024755477905"
"51","102","102","102","0.07607527077198029","0.07607527077198029","0.07607527077198029"
"52","104","104","104","0.07567297667264938","0.07567297667264938","0.07567297667264938"
"53","106","106","106","0.07518967241048813","0.07518967241048813","0.07518967241048813"
"54","108","108","108","0.0748387947678566","0.0748387947678566","0.0748387947678566"
"55","110","110","110","0.07443910837173462","0.07443910837173462","0.07443910837173462"
"56","112","112","112","0.07413193583488464","0.07413193583488464","0.07413193583488464"
"57","114","114","114","0.07393970340490341","0.07393970340490341","0.07393970340490341"
"58","116","116","116","0.07371536642313004","0.07371536642313004","0.07371536642313004"
"59","118","118","118","0.07344722002744675","0.07344722002744675","0.07344722002744675"
"60","120","120","120","0.0733402892947197","0.0733402892947197","0.0733402892947197"
"61","122","122","122","0.073275625705719","0.073275625705719","0.073275625705719"
"62","124","124","124","0.0731966644525528","0.0731966644525528","0.0731966644525528"
"63","126","126","126","0.07307977229356766","0.07307977229356766","0.07307977229356766"
"64","128","128","128","0.07289464771747589","0.07289464771747589","0.07289464771747589"
"65","130","130","130","0.07265331596136093","0.07265331596136093","0.07265331596136093"
"66","132","132","132","0.07240769267082214","0.07240769267082214","0.07240769267082214"
"67","134","134","134","0.07215508818626404","0.07215508818626404","0.07215508818626404"
"68","136","136","136","0.07194198668003082","0.07194198668003082","0.07194198668003082"
"69","138","138","138","0.07155458629131317","0.07155458629131317","0.07155458629131317"
"70","140","140","140","0.07134819030761719","0.07134819030761719","0.07134819030761719"
"71","142","142","142","0.07100440561771393","0.07100440561771393","0.07100440561771393"
"72","144","144","144","0.07085508853197098","0.07085508853197098","0.07085508853197098"
"73","146","146","146","0.07089272141456604","0.07089272141456604","0.07089272141456604"
"74","148","148","148","0.07061141729354858","0.07061141729354858","0.07061141729354858"
"75","150","150","150","0.07055297493934631","0.07055297493934631","0.07055297493934631"
"76","152","152","152","0.07018420845270157","0.07018420845270157","0.07018420845270157"
"77","154","154","154","0.06992337852716446","0.06992337852716446","0.06992337852716446"
"78","156","156","156","0.06958366930484772","0.06958366930484772","0.06958366930484772"
"79","158","158","158","0.06919291615486145","0.06919291615486145","0.06919291615486145"
"80","160","160","160","0.06888983398675919","0.06888983398675919","0.06888983398675919"
"81","162","162","162","0.06874208897352219","0.06874208897352219","0.06874208897352219"
"82","164","164","164","0.06868988275527954","0.06868988275527954","0.06868988275527954"
"83","166","166","166","0.0686413124203682","0.0686413124203682","0.0686413124203682"
"84","168","168","168","0.06865744292736053","0.06865744292736053","0.06865744292736053"
"85","170","170","170","0.06843627989292145","0.06843627989292145","0.06843627989292145"
"86","172","172","172","0.06818577647209167","0.06818577647209167","0.06818577647209167"
"87","174","174","174","0.06785021722316742","0.06785021722316742","0.06785021722316742"
"88","176","176","176","0.06754805147647858","0.06754805147647858","0.06754805147647858"
"89","178","178","178","0.06717458367347717","0.06717458367347717","0.06717458367347717"
"90","180","180","180","0.06685201823711395","0.06685201823711395","0.06685201823711395"
"91","182","182","182","0.06662794947624207","0.06662794947624207","0.06662794947624207"
"92","184","184","184","0.06642762571573257","0.06642762571573257","0.06642762571573257"
"93","186","186","186","0.06628314405679703","0.06628314405679703","0.06628314405679703"
"94","188","188","188","0.06604495644569397","0.06604495644569397","0.06604495644569397"
"95","190","190","190","0.06584642082452774","0.06584642082452774","0.06584642082452774"
"96","192","192","192","0.06552441418170929","0.06552441418170929","0.06552441418170929"
"97","194","194","194","0.06547576934099197","0.06547576934099197","0.06547576934099197"
"98","196","196","196","0.06549261510372162","0.06549261510372162","0.06549261510372162"
"99","198","198","198","0.0654432624578476","0.0654432624578476","0.0654432624578476"
"100","200","200","200","0.06530876457691193","0.06530876457691193","0.06530876457691193"
"101","202","202","202","0.06533203274011612","0.06533203274011612","0.06533203274011612"
"102","204","204","204","0.06545145064592361","0.06545145064592361","0.06545145064592361"
"103","206","206","206","0.06541508436203003","0.06541508436203003","0.06541508436203003"
"104","208","208","208","0.06527085602283478","0.06527085602283478","0.06527085602283478"
"105","210","210","210","0.06487806886434555","0.06487806886434555","0.06487806886434555"
"106","212","212","212","0.06444741040468216","0.06444741040468216","0.06444741040468216"
"107","214","214","214","0.06393483281135559","0.06393483281135559","0.06393483281135559"
"108","216","216","216","0.06338082998991013","0.06338082998991013","0.06338082998991013"
"109","218","218","218","0.06291463226079941","0.06291463226079941","0.06291463226079941"
