"trainer/global_step","debug--VQVAE_CSL_ALL_ORIG_1GPU - _step","debug--VQVAE_CSL_ALL_ORIG_1GPU - _step__MIN","debug--VQVAE_CSL_ALL_ORIG_1GPU - _step__MAX","debug--VQVAE_CSL_ALL_ORIG_1GPU - total/train","debug--VQVAE_CSL_ALL_ORIG_1GPU - total/train__MIN","debug--VQVAE_CSL_ALL_ORIG_1GPU - total/train__MAX"
"0","0","0","0","0.1372089385986328","0.1372089385986328","0.1372089385986328"
"1","2","2","2","0.11902938783168793","0.11902938783168793","0.11902938783168793"
"2","4","4","4","0.11380111426115036","0.11380111426115036","0.11380111426115036"
"3","6","6","6","0.11103581637144089","0.11103581637144089","0.11103581637144089"
"4","8","8","8","0.10991701483726501","0.10991701483726501","0.10991701483726501"
"5","10","10","10","0.10912647098302841","0.10912647098302841","0.10912647098302841"
"6","12","12","12","0.10796406120061874","0.10796406120061874","0.10796406120061874"
"7","14","14","14","0.10661263018846512","0.10661263018846512","0.10661263018846512"
"8","16","16","16","0.10596416145563126","0.10596416145563126","0.10596416145563126"
"9","18","18","18","0.10554645210504532","0.10554645210504532","0.10554645210504532"
"10","20","20","20","0.10513594001531601","0.10513594001531601","0.10513594001531601"
"11","22","22","22","0.10507719963788986","0.10507719963788986","0.10507719963788986"
"12","24","24","24","0.1046350821852684","0.1046350821852684","0.1046350821852684"
"13","26","26","26","0.10433333367109299","0.10433333367109299","0.10433333367109299"
"14","28","28","28","0.10400328785181046","0.10400328785181046","0.10400328785181046"
"15","30","30","30","0.10382641106843948","0.10382641106843948","0.10382641106843948"
"16","32","32","32","0.10352085530757904","0.10352085530757904","0.10352085530757904"
"17","34","34","34","0.10333318263292313","0.10333318263292313","0.10333318263292313"
"18","36","36","36","0.10310552269220352","0.10310552269220352","0.10310552269220352"
"19","38","38","38","0.10287091881036758","0.10287091881036758","0.10287091881036758"
"20","40","40","40","0.10259146988391876","0.10259146988391876","0.10259146988391876"
"21","42","42","42","0.10219685733318329","0.10219685733318329","0.10219685733318329"
"22","44","44","44","0.101844921708107","0.101844921708107","0.101844921708107"
"23","46","46","46","0.10161371529102325","0.10161371529102325","0.10161371529102325"
"24","48","48","48","0.10134057700634003","0.10134057700634003","0.10134057700634003"
"25","50","50","50","0.10097076743841171","0.10097076743841171","0.10097076743841171"
"26","52","52","52","0.10067565739154816","0.10067565739154816","0.10067565739154816"
"27","54","54","54","0.10041870921850204","0.10041870921850204","0.10041870921850204"
"28","56","56","56","0.1000930443406105","0.1000930443406105","0.1000930443406105"
"29","58","58","58","0.09977496415376663","0.09977496415376663","0.09977496415376663"
"30","60","60","60","0.09953191131353378","0.09953191131353378","0.09953191131353378"
"31","62","62","62","0.09931054711341858","0.09931054711341858","0.09931054711341858"
"32","64","64","64","0.09912460297346115","0.09912460297346115","0.09912460297346115"
"33","66","66","66","0.0991697758436203","0.0991697758436203","0.0991697758436203"
"34","68","68","68","0.09900303184986115","0.09900303184986115","0.09900303184986115"
"35","70","70","70","0.09890809655189514","0.09890809655189514","0.09890809655189514"
"36","72","72","72","0.09858836978673935","0.09858836978673935","0.09858836978673935"
"37","74","74","74","0.09839356690645218","0.09839356690645218","0.09839356690645218"
"38","76","76","76","0.09827084094285965","0.09827084094285965","0.09827084094285965"
"39","78","78","78","0.09802219271659851","0.09802219271659851","0.09802219271659851"
"40","80","80","80","0.09789783507585526","0.09789783507585526","0.09789783507585526"
"41","82","82","82","0.09784694015979767","0.09784694015979767","0.09784694015979767"
"42","84","84","84","0.09785103797912598","0.09785103797912598","0.09785103797912598"
"43","86","86","86","0.0975620448589325","0.0975620448589325","0.0975620448589325"
"44","88","88","88","0.09736117720603943","0.09736117720603943","0.09736117720603943"
"45","90","90","90","0.09731991589069366","0.09731991589069366","0.09731991589069366"
"46","92","92","92","0.09705839306116104","0.09705839306116104","0.09705839306116104"
"47","94","94","94","0.0968167632818222","0.0968167632818222","0.0968167632818222"
"48","96","96","96","0.09656007587909698","0.09656007587909698","0.09656007587909698"
"49","98","98","98","0.09616421163082123","0.09616421163082123","0.09616421163082123"
"50","100","100","100","0.09592513740062714","0.09592513740062714","0.09592513740062714"
"51","102","102","102","0.09563763439655304","0.09563763439655304","0.09563763439655304"
"52","104","104","104","0.09531280398368835","0.09531280398368835","0.09531280398368835"
"53","106","106","106","0.09512804448604584","0.09512804448604584","0.09512804448604584"
"54","108","108","108","0.09489724040031433","0.09489724040031433","0.09489724040031433"
"55","110","110","110","0.0946107879281044","0.0946107879281044","0.0946107879281044"
"56","112","112","112","0.09465131908655167","0.09465131908655167","0.09465131908655167"
"57","114","114","114","0.09460634738206863","0.09460634738206863","0.09460634738206863"
"58","116","116","116","0.09443078935146332","0.09443078935146332","0.09443078935146332"
"59","118","118","118","0.09426477551460266","0.09426477551460266","0.09426477551460266"
"60","120","120","120","0.09412084519863129","0.09412084519863129","0.09412084519863129"
"61","122","122","122","0.09395447373390198","0.09395447373390198","0.09395447373390198"
"62","124","124","124","0.09368909895420074","0.09368909895420074","0.09368909895420074"
"63","126","126","126","0.09349330514669418","0.09349330514669418","0.09349330514669418"
"64","128","128","128","0.09307166934013367","0.09307166934013367","0.09307166934013367"
"65","130","130","130","0.09281764924526215","0.09281764924526215","0.09281764924526215"
"66","132","132","132","0.09265799820423126","0.09265799820423126","0.09265799820423126"
"67","134","134","134","0.09228308498859406","0.09228308498859406","0.09228308498859406"
"68","136","136","136","0.09205605834722519","0.09205605834722519","0.09205605834722519"
"69","138","138","138","0.09197375178337097","0.09197375178337097","0.09197375178337097"
"70","140","140","140","0.09193649142980576","0.09193649142980576","0.09193649142980576"
"71","142","142","142","0.0919550210237503","0.0919550210237503","0.0919550210237503"
"72","144","144","144","0.09193635731935501","0.09193635731935501","0.09193635731935501"
"73","146","146","146","0.09183169156312943","0.09183169156312943","0.09183169156312943"
"74","148","148","148","0.09178490936756134","0.09178490936756134","0.09178490936756134"
"75","150","150","150","0.09140375256538391","0.09140375256538391","0.09140375256538391"
"76","152","152","152","0.09103453904390335","0.09103453904390335","0.09103453904390335"
"77","154","154","154","0.09095342457294464","0.09095342457294464","0.09095342457294464"
"78","156","156","156","0.09078466147184372","0.09078466147184372","0.09078466147184372"
"79","158","158","158","0.09050928056240082","0.09050928056240082","0.09050928056240082"
"80","160","160","160","0.09032757580280304","0.09032757580280304","0.09032757580280304"
"81","162","162","162","0.08998705446720123","0.08998705446720123","0.08998705446720123"
"82","164","164","164","0.09006093442440033","0.09006093442440033","0.09006093442440033"
"83","166","166","166","0.09014251083135605","0.09014251083135605","0.09014251083135605"
"84","168","168","168","0.09044764190912247","0.09044764190912247","0.09044764190912247"
"85","170","170","170","0.09019191563129425","0.09019191563129425","0.09019191563129425"
"86","172","172","172","0.0899394154548645","0.0899394154548645","0.0899394154548645"
"87","174","174","174","0.08996333926916122","0.08996333926916122","0.08996333926916122"
"88","176","176","176","0.08963058143854141","0.08963058143854141","0.08963058143854141"
"89","178","178","178","0.08881686627864838","0.08881686627864838","0.08881686627864838"
"90","180","180","180","0.08881686627864838","0.08881686627864838","0.08881686627864838"
